Nr,Destination,Prefix,Zone,Mobile,Cost
1,USA,1,1,,0.05
2,Canada,1204,1,,0.05
3,Bahamas,1242,4,,0.75
4,"Bahamas, mobile",1242357,4,1,0.95
5,"Bahamas, mobile",1242359,4,1,0.95
6,"Bahamas, mobile",1242375,4,1,0.95
7,"Bahamas, mobile",1242376,4,1,0.95
8,"Bahamas, mobile",1242395,4,1,0.95
9,"Bahamas, mobile",1242421,4,1,0.95
10,"Bahamas, mobile",1242422,4,1,0.95
11,"Bahamas, mobile",1242423,4,1,0.95
12,"Bahamas, mobile",1242424,4,1,0.95
13,"Bahamas, mobile",1242425,4,1,0.95
14,"Bahamas, mobile",1242426,4,1,0.95
15,"Bahamas, mobile",1242427,4,1,0.95
16,"Bahamas, mobile",1242428,4,1,0.95
17,"Bahamas, mobile",1242429,4,1,0.95
18,"Bahamas, mobile",1242431,4,1,0.95
19,"Bahamas, mobile",1242432,4,1,0.95
20,"Bahamas, mobile",1242433,4,1,0.95
21,"Bahamas, mobile",1242434,4,1,0.95
22,"Bahamas, mobile",1242435,4,1,0.95
23,"Bahamas, mobile",1242436,4,1,0.95
24,"Bahamas, mobile",1242437,4,1,0.95
25,"Bahamas, mobile",1242438,4,1,0.95
26,"Bahamas, mobile",1242439,4,1,0.95
27,"Bahamas, mobile",1242441,4,1,0.95
28,"Bahamas, mobile",1242442,4,1,0.95
29,"Bahamas, mobile",1242443,4,1,0.95
30,"Bahamas, mobile",1242445,4,1,0.95
31,"Bahamas, mobile",1242446,4,1,0.95
32,"Bahamas, mobile",1242447,4,1,0.95
33,"Bahamas, mobile",1242448,4,1,0.95
34,"Bahamas, mobile",1242449,4,1,0.95
35,"Bahamas, mobile",1242451,4,1,0.95
36,"Bahamas, mobile",1242452,4,1,0.95
37,"Bahamas, mobile",1242453,4,1,0.95
38,"Bahamas, mobile",1242454,4,1,0.95
39,"Bahamas, mobile",1242455,4,1,0.95
40,"Bahamas, mobile",1242456,4,1,0.95
41,"Bahamas, mobile",1242457,4,1,0.95
42,"Bahamas, mobile",1242458,4,1,0.95
43,"Bahamas, mobile",1242462,4,1,0.95
44,"Bahamas, mobile",1242463,4,1,0.95
45,"Bahamas, mobile",1242464,4,1,0.95
46,"Bahamas, mobile",1242465,4,1,0.95
47,"Bahamas, mobile",1242466,4,1,0.95
48,"Bahamas, mobile",1242467,4,1,0.95
49,"Bahamas, mobile",1242468,4,1,0.95
50,"Bahamas, mobile",124247,4,1,0.95
51,"Bahamas, mobile",1242477,4,1,0.95
52,"Bahamas, mobile",1242481,4,1,0.95
53,"Bahamas, mobile",1242524,4,1,0.95
54,"Bahamas, mobile",1242525,4,1,0.95
55,"Bahamas, mobile",1242533,4,1,0.95
56,"Bahamas, mobile",1242535,4,1,0.95
57,"Bahamas, mobile",1242544,4,1,0.95
58,"Bahamas, mobile",1242551,4,1,0.95
59,"Bahamas, mobile",1242552,4,1,0.95
60,"Bahamas, mobile",1242553,4,1,0.95
61,"Bahamas, mobile",1242554,4,1,0.95
62,"Bahamas, mobile",1242556,4,1,0.95
63,"Bahamas, mobile",1242557,4,1,0.95
64,"Bahamas, mobile",1242558,4,1,0.95
65,"Bahamas, mobile",1242559,4,1,0.95
66,"Bahamas, mobile",1242565,4,1,0.95
67,"Bahamas, mobile",1242577,4,1,0.95
68,"Bahamas, mobile",1242636,4,1,0.95
69,"Bahamas, mobile",1242646,4,1,0.95
70,"Bahamas, mobile",1242727,4,1,0.95
71,Barbados,1246,4,,0.75
72,"Barbados, mobile",124623,4,1,0.95
73,"Barbados, mobile",124624,4,1,0.95
74,"Barbados, mobile",124625,4,1,0.95
75,"Barbados, mobile",1246256,4,1,0.95
76,"Barbados, mobile",1246257,4,1,0.95
77,"Barbados, mobile",1246258,4,1,0.95
78,"Barbados, mobile",1246259,4,1,0.95
79,"Barbados, mobile",124626,4,1,0.95
80,"Barbados, mobile",1246446,4,1,0.95
81,"Barbados, mobile",1246447,4,1,0.95
82,"Barbados, mobile",1246448,4,1,0.95
83,"Barbados, mobile",1246449,4,1,0.95
84,"Barbados, mobile",124645,4,1,0.95
85,"Barbados, mobile",124652,4,1,0.95
86,"Barbados, mobile",1246530,4,1,0.95
87,"Barbados, mobile",1246531,4,1,0.95
88,"Barbados, mobile",1246532,4,1,0.95
89,"Barbados, mobile",1246533,4,1,0.95
90,"Barbados, mobile",1246534,4,1,0.95
91,"Barbados, mobile",124682,4,1,0.95
92,"Barbados, mobile",124683,4,1,0.95
93,"Barbados, mobile",124684,4,1,0.95
94,"Barbados, mobile",124685,4,1,0.95
95,Canada,1250,1,,0.05
96,Anguilla,1264,4,,0.75
97,"Anguilla, mobile",1264235,4,1,0.95
98,"Anguilla, mobile",1264469,4,1,0.95
99,"Anguilla, mobile",1264476,4,1,0.95
100,"Anguilla, mobile",1264536,4,1,0.95
101,"Anguilla, mobile",1264537,4,1,0.95
102,"Anguilla, mobile",1264538,4,1,0.95
103,"Anguilla, mobile",1264539,4,1,0.95
104,"Anguilla, mobile",1264543,4,1,0.95
105,"Anguilla, mobile",1264581,4,1,0.95
106,"Anguilla, mobile",1264582,4,1,0.95
107,"Anguilla, mobile",1264583,4,1,0.95
108,"Anguilla, mobile",1264584,4,1,0.95
109,"Anguilla, mobile",1264729,4,1,0.95
110,"Anguilla, mobile",1264772,4,1,0.95
111,Antigua & Barbuda,1268,4,,0.75
112,"Antigua & Barbuda, mobile",1268464,4,1,0.95
113,"Antigua & Barbuda, mobile",12687,4,1,0.95
114,Virgin islands (UK),1284,4,,0.75
115,"Virgin islands (UK), mobile",1284300,4,1,0.95
116,"Virgin islands (UK), mobile",1284340,4,1,0.95
117,"Virgin islands (UK), mobile",1284341,4,1,0.95
118,"Virgin islands (UK), mobile",1284342,4,1,0.95
119,"Virgin islands (UK), mobile",1284343,4,1,0.95
120,"Virgin islands (UK), mobile",1284344,4,1,0.95
