m,m/s,km/h,min/km
0.0,0.0,0.0,None
3.5,0.0,0.0,None
8.3,2.1,7.56,7.94
11.5,1.6,5.76,10.42
16.2,2.1,7.56,7.94
21.9,2.7,9.72,6.17
26.0,2.9,10.44,5.75
32.4,4.2,15.12,3.97
36.1,4.0,14.4,4.17
42.2,4.1,14.76,4.07
48.0,3.1,11.16,5.38
53.4,3.5,12.6,4.76
79.0,6.1,21.96,2.73
82.6,5.8,20.88,2.87
88.3,5.8,20.88,2.87
92.1,5.5,19.8,3.03
95.5,3.3,11.88,5.05
100.6,3.6,12.96,4.63
106.9,4.9,17.64,3.4
111.4,4.6,16.56,3.62
118.4,5.3,19.08,3.14
122.3,5.4,19.44,3.09
128.3,4.3,15.48,3.88
132.0,2.7,9.72,6.17
135.8,0.6,2.16,27.78
140.7,0.7,2.52,23.81
144.4,1.0,3.6,16.67
149.7,2.8,10.08,5.95
152.8,2.4,8.64,6.94
156.8,1.4,5.04,11.9
160.0,1.2,4.32,13.89
163.7,1.6,5.76,10.42
166.8,2.0,7.2,8.33
170.1,1.9,6.84,8.77
173.8,2.0,7.2,8.33
177.5,1.8,6.48,9.26
181.3,1.9,6.84,8.77
184.5,1.8,6.48,9.26
187.6,1.7,6.12,9.8
191.8,1.8,6.48,9.26
196.9,2.1,7.56,7.94
202.6,2.5,9.0,6.67
208.6,2.8,10.08,5.95
212.5,3.1,11.16,5.38
216.4,3.3,11.88,5.05
220.5,3.6,12.96,4.63
224.5,3.7,13.32,4.5
228.1,3.9,14.04,4.27
231.7,3.8,13.68,4.39
236.0,3.9,14.04,4.27
241.0,4.1,14.76,4.07
246.6,4.4,15.84,3.79
252.0,4.8,17.28,3.47
256.0,4.9,17.64,3.4
261.3,4.1,14.76,4.07
267.9,3.2,11.52,5.21
271.8,3.2,11.52,5.21
275.8,3.3,11.88,5.05
280.2,3.8,13.68,4.39
284.8,3.9,14.04,4.27
288.9,4.2,15.12,3.97
292.8,4.2,15.12,3.97
297.1,4.3,15.48,3.88
301.3,4.2,15.12,3.97
304.7,4.0,14.4,4.17
309.0,3.2,11.52,5.21
313.4,1.2,4.32,13.89
317.8,1.3,4.68,12.82
321.5,1.6,5.76,10.42
324.7,1.7,6.12,9.8
328.0,2.9,10.44,5.75
331.6,3.0,10.8,5.56
335.2,3.5,12.6,4.76
338.4,3.4,12.24,4.9
341.7,3.4,12.24,4.9
345.2,3.4,12.24,4.9
350.7,3.1,11.16,5.38
356.1,2.9,10.44,5.75
360.9,2.6,9.36,6.41
365.2,2.4,8.64,6.94
369.0,2.1,7.56,7.94
372.5,1.9,6.84,8.77
376.0,1.8,6.48,9.26
380.7,1.9,6.84,8.77
386.1,2.3,8.28,7.25
390.8,2.5,9.0,6.67
395.3,2.4,8.64,6.94
400.4,2.4,8.64,6.94
403.7,2.6,9.36,6.41
407.4,2.8,10.08,5.95
411.4,3.2,11.52,5.21
414.7,3.2,11.52,5.21
418.5,3.0,10.8,5.56
421.9,2.9,10.44,5.75
425.1,2.7,9.72,6.17
428.5,2.8,10.08,5.95
432.5,3.0,10.8,5.56
436.6,3.6,12.96,4.63
440.6,3.7,13.32,4.5
444.2,3.8,13.68,4.39
448.2,3.9,14.04,4.27
451.8,3.9,14.04,4.27
455.9,3.9,14.04,4.27
459.6,3.8,13.68,4.39
463.1,3.8,13.68,4.39
477.0,5.8,20.88,2.87
486.8,7.0,25.2,2.38
489.8,6.8,24.48,2.45
492.8,6.6,23.76,2.53
495.9,6.6,23.76,2.53
500.7,2.8,10.08,5.95
506.0,2.6,9.36,6.41
510.7,2.5,9.0,6.67
515.6,1.4,5.04,11.9
518.6,1.3,4.68,12.82
524.3,1.7,6.12,9.8
527.5,1.9,6.84,8.77
535.1,3.3,11.88,5.05
540.6,3.3,11.88,5.05
544.0,3.3,11.88,5.05
548.5,2.7,9.72,6.17
551.6,2.2,7.92,7.58
555.7,2.0,7.2,8.33
559.2,2.1,7.56,7.94
563.2,2.5,9.0,6.67
566.8,3.0,10.8,5.56
572.3,3.4,12.24,4.9
576.7,4.2,15.12,3.97
582.3,4.6,16.56,3.62
591.6,5.7,20.52,2.92
599.2,6.5,23.4,2.56
606.7,6.9,24.84,2.42
614.5,7.6,27.36,2.19
618.6,7.3,26.28,2.28
621.9,6.1,21.96,2.73
628.1,5.8,20.88,2.87
633.2,5.3,19.08,3.14
637.5,4.6,16.56,3.62
645.0,5.3,19.08,3.14
650.1,5.6,20.16,2.98
654.5,5.3,19.08,3.14
661.4,5.6,20.16,2.98
668.8,6.3,22.68,2.65
674.6,5.9,21.24,2.82
678.7,5.7,20.52,2.92
683.6,5.8,20.88,2.87
689.8,5.7,20.52,2.92
693.3,4.9,17.64,3.4
696.7,4.4,15.84,3.79
703.7,5.0,18.0,3.33
708.6,5.0,18.0,3.33
713.0,4.6,16.56,3.62
719.4,4.5,16.2,3.7
722.6,3.8,13.68,4.39
725.9,3.5,12.6,4.76
731.9,3.8,13.68,4.39
738.3,4.2,15.12,3.97
744.4,4.4,15.84,3.79
747.5,4.3,15.48,3.88
750.6,3.7,13.32,4.5
756.6,3.1,11.16,5.38
760.2,3.2,11.52,5.21
764.2,3.3,11.88,5.05
767.7,3.4,12.24,4.9
771.3,3.4,12.24,4.9
775.2,3.7,13.32,4.5
779.3,3.8,13.68,4.39
783.6,3.9,14.04,4.27
787.5,4.0,14.4,4.17
791.1,4.0,14.4,4.17
794.9,3.9,14.04,4.27
798.7,3.9,14.04,4.27
802.0,3.7,13.32,4.5
805.1,3.5,12.6,4.76
808.3,3.4,12.24,4.9
814.0,3.1,11.16,5.38
819.1,2.8,10.08,5.95
823.6,2.6,9.36,6.41
827.5,2.3,8.28,7.25
834.9,2.6,9.36,6.41
838.8,3.0,10.8,5.56
843.6,3.2,11.52,5.21
847.6,2.5,9.0,6.67
852.8,2.3,8.28,7.25
856.0,2.5,9.0,6.67
859.1,2.6,9.36,6.41
864.7,2.9,10.44,5.75
869.1,2.6,9.36,6.41
876.0,2.8,10.08,5.95
879.7,3.0,10.8,5.56
882.8,3.0,10.8,5.56
888.8,3.3,11.88,5.05
892.1,3.2,11.52,5.21
896.5,2.7,9.72,6.17
899.6,2.8,10.08,5.95
904.9,2.6,9.36,6.41
908.4,2.7,9.72,6.17
914.8,3.0,10.8,5.56
918.5,3.1,11.16,5.38
